index,total_reward,total_timesteps,max_depth,max_score,max_gold,max_xp
14-28-23,10.0,95.0,1.0,10.0,0.0,0.0
14-28-30,8.0,175.0,1.0,8.0,0.0,2.0
14-28-43,3.0,114.0,1.0,3.0,3.0,0.0
14-28-49,0.0,15.0,1.0,0.0,0.0,0.0
14-28-50,0.0,102.0,1.0,0.0,0.0,0.0
14-28-54,0.0,86.0,1.0,0.0,0.0,0.0
14-28-59,0.0,107.0,1.0,0.0,0.0,0.0
14-29-08,2.0,239.0,1.0,2.0,2.0,0.0
14-29-27,1.0,108.0,1.0,1.0,1.0,0.0
14-29-34,0.0,41.0,1.0,0.0,0.0,0.0
14-29-38,4.0,108.0,1.0,4.0,4.0,0.0
14-29-43,31.0,193.0,1.0,31.0,7.0,6.0
14-29-51,0.0,127.0,1.0,0.0,0.0,0.0
14-29-56,15.0,135.0,1.0,15.0,5.0,0.0
14-30-03,0.0,63.0,1.0,0.0,0.0,0.0
14-30-05,4.0,319.0,1.0,4.0,0.0,1.0
14-30-25,0.0,154.0,1.0,0.0,0.0,0.0
14-30-37,2.0,103.0,1.0,2.0,2.0,0.0
14-30-43,5.0,113.0,1.0,5.0,5.0,0.0
14-30-49,0.0,196.0,1.0,0.0,0.0,0.0
14-31-02,0.0,271.0,1.0,0.0,0.0,0.0
14-31-18,0.0,6.0,1.0,3.0,3.0,0.0
14-31-19,1.0,243.0,1.0,1.0,1.0,0.0
14-31-37,6.0,123.0,1.0,6.0,2.0,1.0
14-31-46,0.0,83.0,1.0,0.0,0.0,0.0
14-31-49,0.0,270.0,1.0,0.0,0.0,0.0
14-32-04,11.0,207.0,1.0,11.0,7.0,1.0
14-32-21,14.0,185.0,1.0,14.0,4.0,0.0
14-32-30,0.0,133.0,1.0,0.0,0.0,0.0
14-32-35,4.0,36.0,1.0,4.0,0.0,1.0
14-32-37,0.0,111.0,1.0,0.0,0.0,0.0
14-32-42,0.0,78.0,1.0,0.0,0.0,0.0
14-32-46,4.0,68.0,1.0,4.0,0.0,1.0
14-32-49,5.0,172.0,1.0,5.0,5.0,0.0
14-33-03,4.0,89.0,1.0,4.0,0.0,1.0
14-33-08,0.0,60.0,1.0,7.0,7.0,0.0
14-33-12,0.0,66.0,1.0,0.0,0.0,0.0
14-33-14,0.0,12.0,1.0,0.0,0.0,0.0
14-33-15,0.0,86.0,1.0,0.0,0.0,0.0
14-33-18,0.0,91.0,1.0,0.0,0.0,0.0
14-33-23,0.0,1.0,1.0,0.0,0.0,0.0
14-33-24,22.0,228.0,1.0,22.0,0.0,3.0
14-33-33,0.0,131.0,1.0,0.0,0.0,0.0
14-33-40,10.0,211.0,1.0,10.0,0.0,0.0
14-33-54,0.0,58.0,1.0,0.0,0.0,0.0
14-33-57,0.0,145.0,1.0,0.0,0.0,0.0
14-34-06,0.0,149.0,1.0,0.0,0.0,0.0
14-34-16,0.0,184.0,1.0,0.0,0.0,0.0
14-34-29,4.0,118.0,1.0,4.0,4.0,0.0
14-34-34,15.0,132.0,1.0,15.0,5.0,0.0
14-34-39,2.0,117.0,1.0,2.0,2.0,0.0
14-34-45,0.0,79.0,1.0,0.0,0.0,0.0
14-34-51,0.0,24.0,1.0,0.0,0.0,0.0
14-34-53,0.0,77.0,1.0,0.0,0.0,0.0
14-34-59,4.0,48.0,1.0,4.0,4.0,0.0
14-35-04,4.0,334.0,1.0,4.0,0.0,1.0
14-35-23,15.0,230.0,1.0,15.0,5.0,0.0
14-35-38,0.0,353.0,1.0,0.0,0.0,0.0
14-35-59,0.0,451.0,1.0,0.0,0.0,0.0
14-36-34,0.0,201.0,1.0,0.0,0.0,0.0
14-36-48,0.0,63.0,1.0,0.0,0.0,0.0
14-36-52,3.0,405.0,1.0,3.0,3.0,0.0
14-37-29,23.0,183.0,1.0,23.0,3.0,5.0
14-37-40,0.0,130.0,1.0,0.0,0.0,0.0
14-37-46,0.0,99.0,1.0,0.0,0.0,0.0
14-37-54,0.0,72.0,1.0,0.0,0.0,0.0
14-37-58,0.0,191.0,1.0,0.0,0.0,0.0
14-38-11,0.0,157.0,1.0,0.0,0.0,0.0
14-38-20,0.0,179.0,1.0,0.0,0.0,0.0
14-38-31,0.0,142.0,1.0,0.0,0.0,0.0
14-38-38,0.0,75.0,1.0,0.0,0.0,0.0
14-38-41,0.0,106.0,1.0,0.0,0.0,0.0
14-38-47,104.0,346.0,3.0,107.0,3.0,1.0
14-39-16,0.0,138.0,1.0,0.0,0.0,0.0
14-39-25,0.0,30.0,1.0,0.0,0.0,0.0
14-39-26,0.0,139.0,1.0,0.0,0.0,0.0
14-39-36,0.0,55.0,1.0,0.0,0.0,0.0
14-39-39,0.0,97.0,1.0,0.0,0.0,0.0
14-39-44,0.0,187.0,1.0,0.0,0.0,0.0
14-39-53,0.0,9.0,1.0,0.0,0.0,0.0
14-39-54,4.0,362.0,1.0,4.0,0.0,1.0
14-40-18,1.0,70.0,1.0,1.0,1.0,0.0
14-40-22,0.0,53.0,1.0,0.0,0.0,0.0
14-40-23,58.0,201.0,2.0,58.0,0.0,2.0
14-40-31,0.0,50.0,1.0,0.0,0.0,0.0
14-40-33,0.0,101.0,1.0,0.0,0.0,0.0
14-40-38,0.0,160.0,1.0,0.0,0.0,0.0
14-40-49,0.0,14.0,1.0,0.0,0.0,0.0
14-40-50,7.0,184.0,1.0,7.0,7.0,0.0
14-41-05,0.0,1.0,1.0,0.0,0.0,0.0
14-41-06,0.0,183.0,1.0,0.0,0.0,0.0
14-41-20,0.0,255.0,1.0,0.0,0.0,0.0
14-41-35,0.0,57.0,1.0,0.0,0.0,0.0
14-41-37,1.0,191.0,1.0,1.0,1.0,0.0
14-41-51,0.0,317.0,1.0,0.0,0.0,0.0
14-42-12,0.0,38.0,1.0,0.0,0.0,0.0
14-42-14,0.0,112.0,1.0,0.0,0.0,0.0
14-42-20,0.0,104.0,1.0,7.0,7.0,0.0
14-51-56,0.0,36.0,1.0,0.0,0.0,0.0
14-51-57,0.0,1022.0,1.0,0.0,0.0,0.0
